slice,n_alerts,n_1d,hit_1d,mean_bps_1d,t_ev_1d,t_day_1d,n_3d,hit_3d,mean_bps_3d,t_ev_3d,t_day_3d,n_5d,hit_5d,mean_bps_5d,t_ev_5d,t_day_5d,H1_mean_3d,H1_n_3d,H2_mean_3d,H2_n_3d,up_mean_3d,up_n_3d,down_mean_3d,down_n_3d,H1_mean_5d,H1_n_5d,H2_mean_5d,H2_n_5d,up_mean_5d,up_n_5d,down_mean_5d,down_n_5d
bull mny ITM,64239,16549,0.48546739984289083,0.36343733380010945,0.09934466590046516,0.695705792328506,15987,0.48282979921185964,-3.7430298173494574,-0.6007174069743813,-0.07909822853336383,15426,0.48444185141968105,-2.4461335507323385,-0.3037481050752437,0.03483850783950319,2.2623997440224364,8053,-9.777641996112052,8009,19.96620049022392,8923,-33.691707908300366,7064,4.557563678767743,8053,-8.536083183216178,7448,37.00470160925392,8935,-56.75104992024048,6491
bear mny ITM,63757,17692,0.5142437259778431,-0.4411383129368764,-0.12759950577943213,-1.5421436679710079,17191,0.5181199464836251,6.790576467569069,1.1290018485337856,-0.704653865132173,16586,0.518569878210539,4.247538761724827,0.5477261642519557,-0.5542576875371529,-0.0619901115093222,9089,15.254946638762657,8177,-14.725000878645245,9549,33.67519411726816,7642,-4.602721694261035,9089,14.555494953686878,7572,-32.37552018240126,9513,53.50459513603157,7073
bull mny ATM(0-2.5%),40055,11942,0.4904538603249037,3.29286836700945,0.7959892466659401,-0.01559013589185486,11589,0.4845974631115713,-2.5394210083408004,-0.35856948943230066,-0.6617099889859961,11157,0.4878551581966478,2.8175095982166454,0.3121303781358748,0.08207402748063916,4.844470305785269,5880,-9.915404008825007,5766,26.770449208314997,6406,-38.76535745593815,5183,7.416538177310482,5880,-0.18855441430222245,5334,43.44926510990953,6370,-51.25065054581587,4787
bear mny ATM(0-2.5%),39446,11917,0.5106150876898549,-4.4473716595598205,-1.076686169917129,-0.6675696185940132,11519,0.5187950342911711,-0.43069265326006617,-0.06110434257688983,-0.5833741503418038,11106,0.5171078696200252,-2.4424548406766577,-0.2642303074355011,-1.2097418655982874,-2.546842252522029,5933,2.022878933786396,5636,-21.79542607105001,6378,26.07470896873258,5141,-6.617821005204617,5933,1.6674544514790453,5223,-37.93443593476008,6368,45.259726587589135,4738
bull mny OTM(2.5-10%),60623,17532,0.48659593885466573,2.258580324058767,0.632136990915024,-0.3332425296984957,17034,0.48256428319830924,2.1023715997692105,0.3496743744549876,-0.20619927554648168,16458,0.4848098189330417,6.528169829348057,0.8499209633770587,0.04558288978379256,8.63798831765835,8707,-4.486314466920062,8417,26.25780144991294,9530,-28.574766789339225,7504,16.053428224197614,8707,-2.3632164578621264,7841,39.84849698800801,9514,-39.12413325064774,6944
bear mny OTM(2.5-10%),56585,16793,0.511165366521765,-2.075870426266335,-0.5812527668182076,0.5687860092431376,16219,0.5114988593624761,-1.0400413914335218,-0.16976722585049028,0.4637006381103225,15614,0.508646086845139,-7.802243611111901,-0.9802595894467739,0.06528764265090503,-12.621927668910763,8353,11.744047245215803,7957,-17.842245773499098,8845,19.113945285996664,7374,-12.014886551425112,8353,-4.611376604686833,7352,-36.83330529835353,8810,29.787946492444647,6804
bull mny DeepOTM(>10%),74413,18217,0.48871932810012625,4.517745511229636,1.1627552730295727,-0.5017071907925528,17701,0.48957686006440315,4.377640909485519,0.6628341276330632,-0.41747855176285187,17072,0.49379100281162136,20.39117894931793,2.423741368069628,-0.445300900034475,3.2425598161414797,8847,4.378006389798815,8956,44.639410394714574,10258,-51.11144029157313,7443,18.649020804715754,8847,23.28199419306861,8327,81.40546819405071,10223,-70.68037586874357,6849
bear mny DeepOTM(>10%),70168,17306,0.5100543164220501,-3.437010621567606,-0.895107543405876,-0.004003294877016165,16595,0.5072612232600181,-10.591974753203672,-1.5806537425243168,-0.48701647926998265,15906,0.5010687790770778,-23.862315148963223,-2.7564523166089376,-1.0756341561196339,-18.101456236887145,8326,-1.7358469014604865,8373,-52.82481855875847,9029,39.807225183401435,7566,-22.518272455290003,8326,-26.439957638292142,7684,-87.33460936657079,8970,58.22339406844449,6936
bull voloi <1,159665,27768,0.4825338519158744,-2.8869963095104043,-1.032268057737351,0.6168281192340178,26884,0.4762684124386252,-10.612520283283196,-2.2071759020361803,0.25054188889313467,25934,0.47840672476285956,-4.637224890770919,-0.748650808901619,0.30425804972662707,-8.136372433347393,13902,-13.284375986443134,13154,15.707523229972724,15020,-43.93408582349762,11864,-3.624415254672572,13902,-3.6881722721898744,12204,35.5911403855469,14998,-59.807764614089734,10936
bear voloi <1,154889,27836,0.5138310102026153,-0.6705477167136512,-0.24661058096602517,-0.7710181817045272,26856,0.5176124515936849,5.3900552765683,1.1258380002473698,-0.6009644458337327,25865,0.5164508022424126,-0.6499751662404011,-0.10447471672321201,-0.3074186709742199,0.24154172664062373,14150,12.074000727356946,12889,-14.239304916296769,14735,29.252659223591372,12121,0.031777405526817556,14150,-1.9620029904780256,11898,-33.50829372106437,14685,42.50963198739018,11180
bull voloi 1-3,37377,12184,0.48777084701247536,8.052297488242155,1.7441396350313807,-0.0796222827234035,11862,0.4935929860057326,13.372852516653348,1.72069272538476,0.06620074913482567,11432,0.49711336599020295,25.94431105767545,2.613023499080614,-0.08686623715679101,20.903117543266927,5946,4.406984175770207,5961,44.617322659717395,6646,-26.43749038419091,5216,32.4306095274639,5946,18.95182233296785,5531,71.03463278088402,6634,-36.40024799021237,4798
