,AAPL,AMZN,GOOGL,IWM,META,MSFT,NVDA,QQQ,SPY,TSLA
2025-05-22,201.36000061035156,203.10000610351562,170.8699951171875,203.1999969482422,636.5700073242188,454.8599853515625,132.8300018310547,514.0,583.0900268554688,341.0400085449219
2025-05-23,195.27000427246094,200.99000549316406,168.47000122070312,202.55999755859375,627.0599975585938,450.17999267578125,131.2899932861328,509.239990234375,579.1099853515625,339.3399963378906
2025-05-27,200.2100067138672,206.02000427246094,172.89999389648438,207.6999969482422,642.3200073242188,460.69000244140625,135.5,521.219970703125,591.1500244140625,362.8900146484375
2025-05-28,200.4199981689453,204.72000122070312,172.36000061035156,205.50999450683594,643.5800170898438,457.3599853515625,134.80999755859375,518.9099731445312,587.72998046875,356.8999938964844
2025-05-29,199.9499969482422,205.6999969482422,171.86000061035156,206.1199951171875,645.0499877929688,458.67999267578125,139.19000244140625,519.9299926757812,590.0499877929688,358.42999267578125
2025-05-30,200.85000610351562,205.00999450683594,171.74000549316406,205.07000732421875,647.489990234375,460.3599853515625,135.1300048828125,519.1099853515625,589.3900146484375,346.4599914550781
2025-06-02,201.6999969482422,206.64999389648438,169.02999877929688,205.7100067138672,670.9000244140625,461.9700012207031,137.3800048828125,523.2100219726562,592.7100219726562,342.69000244140625
2025-06-03,203.27000427246094,205.7100067138672,166.17999267578125,209.02999877929688,666.8499755859375,462.9700012207031,141.22000122070312,527.2999877929688,596.0900268554688,344.2699890136719
2025-06-04,202.82000732421875,207.22999572753906,168.0500030517578,208.44000244140625,687.9500122070312,463.8699951171875,141.9199981689453,528.77001953125,595.9299926757812,332.04998779296875
2025-06-05,200.6300048828125,207.91000366210938,168.2100067138672,208.52999877929688,684.6199951171875,467.67999267578125,139.99000549316406,524.7899780273438,593.0499877929688,284.70001220703125
2025-06-06,203.9199981689453,213.57000732421875,173.67999267578125,211.89999389648438,697.7100219726562,470.3800048828125,141.72000122070312,529.9199829101562,599.1400146484375,295.1400146484375
2025-06-09,201.4499969482422,216.97999572753906,176.08999633789062,213.36000061035156,694.0599975585938,472.75,142.6300048828125,530.7000122070312,599.6799926757812,308.5799865722656
2025-06-10,202.6699981689453,217.61000061035156,178.60000610351562,214.50999450683594,702.4000244140625,470.9200134277344,143.9600067138672,534.2100219726562,603.0800170898438,326.0899963378906
2025-06-11,198.77999877929688,213.1999969482422,177.35000610351562,213.6300048828125,694.1400146484375,472.6199951171875,142.8300018310547,532.4099731445312,601.3599853515625,326.42999267578125
2025-06-12,199.1999969482422,213.24000549316406,175.6999969482422,212.77999877929688,693.3599853515625,478.8699951171875,145.0,533.6599731445312,603.75,319.1099853515625
2025-06-13,196.4499969482422,212.10000610351562,174.6699981689453,208.88999938964844,682.8699951171875,474.9599914550781,141.97000122070312,526.9600219726562,597.0,325.30999755859375
2025-06-16,198.4199981689453,216.10000610351562,176.77000427246094,210.77000427246094,702.1199951171875,479.1400146484375,144.69000244140625,534.2899780273438,602.6799926757812,329.1300048828125
2025-06-17,195.63999938964844,214.82000732421875,175.9499969482422,208.5500030517578,697.22998046875,478.0400085449219,144.1199951171875,529.0800170898438,597.530029296875,316.3500061035156
2025-06-18,196.5800018310547,212.52000427246094,173.32000732421875,209.64999389648438,695.77001953125,480.239990234375,145.47999572753906,528.989990234375,597.4400024414062,322.04998779296875
2025-06-20,201.0,209.69000244140625,166.63999938964844,209.2100067138672,682.3499755859375,477.3999938964844,143.85000610351562,526.8300170898438,594.280029296875,322.1600036621094
2025-06-23,201.5,208.47000122070312,165.19000244140625,211.77000427246094,698.530029296875,486.0,144.1699981689453,531.6500244140625,600.1500244140625,348.67999267578125
2025-06-24,200.3000030517578,212.77000427246094,166.77000427246094,214.47000122070312,712.2000122070312,490.1099853515625,147.89999389648438,539.780029296875,606.780029296875,340.4700012207031
2025-06-25,201.55999755859375,211.99000549316406,170.67999267578125,211.97000122070312,708.6799926757812,492.2699890136719,154.30999755859375,541.1599731445312,607.1199951171875,327.54998779296875
2025-06-26,201.0,217.1199951171875,173.5399932861328,215.41000366210938,726.0900268554688,497.45001220703125,155.02000427246094,546.219970703125,611.8699951171875,325.7799987792969
2025-06-27,201.0800018310547,223.3000030517578,178.52999877929688,215.47999572753906,733.6300048828125,495.94000244140625,157.75,548.0900268554688,614.9099731445312,323.6300048828125
2025-06-30,205.1699981689453,219.38999938964844,176.22999572753906,215.7899932861328,738.0900268554688,497.4100036621094,157.99000549316406,551.6400146484375,617.8499755859375,317.6600036621094
2025-07-01,207.82000732421875,220.4600067138672,175.83999633789062,218.00999450683594,719.219970703125,492.04998779296875,153.3000030517578,546.989990234375,617.6500244140625,300.7099914550781
2025-07-02,212.44000244140625,219.9199981689453,178.63999938964844,221.02999877929688,713.5700073242188,491.0899963378906,157.25,550.7999877929688,620.4500122070312,315.6499938964844
2025-07-03,213.5500030517578,223.41000366210938,179.52999877929688,223.0800018310547,719.010009765625,498.8399963378906,159.33999633789062,556.219970703125,625.3400268554688,315.3500061035156
2025-07-07,209.9499969482422,223.47000122070312,176.7899932861328,219.72999572753906,718.3499755859375,497.7200012207031,158.24000549316406,552.030029296875,620.6799926757812,293.94000244140625
2025-07-08,210.00999450683594,219.36000061035156,174.36000061035156,221.25,720.6699829101562,496.6199951171875,160.0,552.3400268554688,620.3400268554688,297.80999755859375
2025-07-09,211.13999938964844,222.5399932861328,176.6199951171875,223.64999389648438,732.780029296875,503.510009765625,162.8800048828125,556.25,624.0599975585938,295.8800048828125
2025-07-10,212.41000366210938,222.25999450683594,177.6199951171875,224.8000030517578,727.239990234375,501.4800109863281,164.10000610351562,555.4500122070312,625.8200073242188,309.8699951171875
2025-07-11,211.16000366210938,225.02000427246094,180.19000244140625,221.6999969482422,717.510009765625,503.32000732421875,164.9199981689453,554.2000122070312,623.6199951171875,313.510009765625
2025-07-14,208.6199951171875,225.69000244140625,181.55999755859375,223.19000244140625,720.9199829101562,503.0199890136719,164.07000732421875,556.2100219726562,624.8099975585938,316.8999938964844
2025-07-15,209.11000061035156,226.35000610351562,182.0,218.82000732421875,710.3900146484375,505.82000732421875,170.6999969482422,556.719970703125,622.1400146484375,310.7799987792969
2025-07-16,210.16000366210938,223.19000244140625,182.97000122070312,221.02000427246094,702.9099731445312,505.6199951171875,171.3699951171875,557.2899780273438,624.219970703125,321.6700134277344
2025-07-17,210.02000427246094,223.8800048828125,183.5800018310547,223.9199981689453,701.4099731445312,511.70001220703125,173.0,561.7999877929688,628.0399780273438,319.4100036621094
2025-07-18,211.17999267578125,226.1300048828125,185.05999755859375,222.3300018310547,704.280029296875,510.04998779296875,172.41000366210938,561.260009765625,627.5800170898438,329.6499938964844
2025-07-21,212.47999572753906,229.3000030517578,190.10000610351562,221.42999267578125,712.969970703125,510.05999755859375,171.3800048828125,564.1699829101562,628.77001953125,328.489990234375
2025-07-22,214.39999389648438,227.47000122070312,191.33999633789062,223.27000427246094,704.8099975585938,505.2699890136719,167.02999877929688,561.25,628.8599853515625,332.1099853515625
2025-07-23,214.14999389648438,228.2899932861328,190.22999572753906,226.67999267578125,713.5800170898438,505.8699951171875,170.77999877929688,563.8099975585938,634.2100219726562,332.55999755859375
2025-07-24,213.75999450683594,232.22999572753906,192.1699981689453,223.5500030517578,714.7999877929688,510.8800048828125,173.74000549316406,565.010009765625,634.4199829101562,305.29998779296875
2025-07-25,213.8800048828125,231.44000244140625,193.17999267578125,224.3800048828125,712.6799926757812,513.7100219726562,173.5,566.3699951171875,637.0999755859375,316.05999755859375
2025-07-28,214.0500030517578,232.7899932861328,192.5800018310547,224.1199951171875,717.6300048828125,512.5,176.75,568.1400146484375,636.9400024414062,325.5899963378906
2025-07-29,211.27000427246094,231.00999450683594,195.75,222.69000244140625,700.0,512.5700073242188,175.50999450683594,567.260009765625,635.260009765625,321.20001220703125
2025-07-30,209.0500030517578,230.19000244140625,196.52999877929688,221.55999755859375,695.2100219726562,513.239990234375,179.27000427246094,568.02001953125,634.4600219726562,319.0400085449219
2025-07-31,207.57000732421875,234.11000061035156,191.89999389648438,219.38999938964844,773.4400024414062,533.5,177.8699951171875,565.010009765625,632.0800170898438,308.2699890136719
